------------------------------------------------ INICIALIZADO O APRENDIZADO ------------------------------------------------ 
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :1--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
37        Esquerda    35          4,305     Direita     -1          0,000     Cima        -1          0,000     Baixo       31          5,314     
38        Esquerda    10          6,561     Direita     -1          0,000     Cima        39          5,314     Baixo       -1          0,000     
39        Esquerda    -1          0,000     Direita     14          6,561     Cima        10          6,561     Baixo       11          8,100     
40        Esquerda    17          5,905     Direita     16          5,905     Cima        -1          0,000     Baixo       37          5,905     
41        Esquerda    22          5,905     Direita     18          5,905     Cima        -1          0,000     Baixo       20          7,290     
----------------------------------------------------------------------------------------------------------------------------
---------------------------------------------- TABELA DO ESTADO :7--------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------
Estado    Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     Acao      Destino   Valor     
1         Esquerda    -1          0,000     Direita     15          5,905     Cima        1           7,290     Baixo       -1          0,000     
2         Esquerda    3           7,290     Direita     2           8,100     Cima        -1          0,000     Baixo       0           6,561     
3         Esquerda    1           7,290     Direita     -1          0,000     Cima        5           9,000     Baixo       -1          0,000     
4         Esquerda    -1          0,000     Direita     1           7,290     Cima        4           8,100     Baixo       -1          0,000     
5         Esquerda    -1          0,000     Direita     5           9,000     Cima        -1          0,000     Baixo       3           7,290     
6         Esquerda    4           8,100     Direita     8           8,100     Cima        6           10,000    Baixo       2           8,100     
7         Esquerda    -1          0,000     Direita     7           0,000     Cima        -1          0,000     Baixo       5           0,000     
8         Esquerda    6           10,000    Direita     9           8,100     Cima        20          8,100     Baixo       8           8,100     
9         Esquerda    5           9,000     Direita     11          7,290     Cima        7           9,000     Baixo       -1          0,000     
10        Esquerda    7           9,000     Direita     10          7,290     Cima        19          7,290     Baixo       -1          0,000     
11        Esquerda    9           8,100     Direita     37          6,561     Cima        -1          0,000     Baixo       38          6,561     
